interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
Vlan18,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.18.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,3:07:04,never,fifo,0,0,0,1482256,0,0,,
Vlan96,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.96.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:05,0:00:05,never,fifo,0,39000,13007474847,1754307278,0,0,,
Vlan97,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.97.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:00,0:00:00,never,fifo,1166000,488000,39290742154,48768790505,0,0,,
Vlan128,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.128.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:24,0:00:05,never,fifo,1000,4000,40032200,76950240,0,0,,
Vlan129,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.129.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:08,0:00:08,never,fifo,0,54124000,332575455,2.02586E+11,0,0,,
Vlan130,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.130.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,4w1d,1:47:42,never,fifo,0,0,197097906,326224186,0,0,,
Vlan192,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.192.1/22,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:35,0:00:35,never,fifo,0,0,770389018,1233510709,0,0,,
Vlan196,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.196.1/22,9216,,,,1000000 Kbit,10 usec,ARPA,never,0:54:03,never,fifo,0,0,0,5557831,0,0,,
Vlan208,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.208.1/22,9216,,,,1000000 Kbit,10 usec,ARPA,3d03h,1:34:05,never,fifo,0,0,19414574,34358018,0,0,,
Vlan242,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.242.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:00,0:00:00,never,fifo,24000,19000,588888340,1004907199,0,0,,
Vlan243,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.243.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:09:14,0:09:14,never,fifo,105000,72000,1147289808,1222444496,0,0,,
Vlan255,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,[L3] VOICE GATEWAYS,10.8.252.9/29,9216,,,,1000000 Kbit,10 usec,ARPA,1:20:13,1:20:13,never,fifo,0,0,23312779,23468706,0,0,,
Vlan620,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.72.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:15:30,0:15:30,never,fifo,106311000,78609000,86922382222,72518176410,0,0,,
Vlan900,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,[L3] BLR-3220-FW Uplink,10.8.252.2/30,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:00,0:00:00,never,fifo,309412000,54705000,2.49911E+11,1.52525E+11,0,0,,
