0,Vlan243,up,"up , Autostate Enabled",Ethernet SVI,7802.b177.e442,7802.b177.e442,,10.8.243.71/24,1500,,,,1000000 Kbit,10 usec,ARPA,00:00:00,00:00:00,never,fifo,0,7000,0,48855980,0,0,,
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,GigabitEthernet1/0/5,up,up (connected),Gigabit Ethernet,7802.b177.e405,7802.b177.e405,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,00:00:09,00:00:03,never,fifo,1000,27000,58089247,762869430,0,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,TenGigabitEthernet1/1/1,up,up (connected),Ten Gigabit Ethernet,7802.b177.e435,7802.b177.e435,[L2] BLR-9500-CORE-TW1/0/1,,1500,Full-duplex,10Gb/s,SFP-10GBase-SR,10000000 Kbit,10 usec,ARPA,00:00:00,00:00:00,never,fifo,22000,0,623177580,1485908,16800,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,TenGigabitEthernet1/1/2,up,up (connected),Ten Gigabit Ethernet,7802.b177.e436,7802.b177.e436,[L2] BLR-9500-CORE-TW2/0/1,,1500,Full-duplex,10Gb/s,SFP-10GBase-SR,10000000 Kbit,10 usec,ARPA,00:00:03,00:00:04,never,fifo,10000,7000,194557868,107472124,88,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,AppGigabitEthernet1/0/1,up,up (connected),App,7802.b177.e441,7802.b177.e441,,,1500,,,,1000000 Kbit,10 usec,ARPA,never,00:00:00,never,fifo,0,0,8,11586364,0,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,Port-channel1,up,up (connected),EtherChannel,7802.b177.e435,7802.b177.e435,[L2] BLR-9500-CORE-PO6,,1500,Full-duplex,10Gb/s,N/A,20000000 Kbit,10 usec,ARPA,00:00:00,00:10:05,never,fifo,32000,7000,817735609,108958035,16888,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,Port-channel13,up,up (connected),EtherChannel,7802.b177.e405,7802.b177.e405,,,1500,Full-duplex,1000Mb/s,N/A,1000000 Kbit,10 usec,ARPA,never,00:00:00,never,fifo,1000,27000,58089247,762869430,0,0,,0
