interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
GigabitEthernet3/0/24,up,up (connected),Gigabit Ethernet,7802.b175.b098,7802.b175.b098,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1037000,44000,3415285770,1664194149,1,0,,0
GigabitEthernet3/0/26,up,up (connected),Gigabit Ethernet,7802.b175.b09a,7802.b175.b09a,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1899000,51000,3040922005,1579388576,0,0,,0
GigabitEthernet3/0/28,up,up (connected),Gigabit Ethernet,7802.b175.b09c,7802.b175.b09c,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1534000,48000,3351355874,1672485296,0,0,,0
GigabitEthernet3/0/30,up,up (connected),Gigabit Ethernet,7802.b175.b09e,7802.b175.b09e,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1064000,43000,3036530066,1591535986,0,0,,0
GigabitEthernet3/0/32,up,up (connected),Gigabit Ethernet,7802.b175.b0a0,7802.b175.b0a0,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1509000,48000,3876742404,1803963582,2,0,,0
GigabitEthernet3/0/34,up,up (connected),Gigabit Ethernet,7802.b175.b0a2,7802.b175.b0a2,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1559000,50000,3793294542,1762185449,0,0,,0
GigabitEthernet3/0/36,up,up (connected),Gigabit Ethernet,7802.b175.b0a4,7802.b175.b0a4,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,707000,42000,3013927035,1551312800,2,0,,0
GigabitEthernet3/0/38,up,up (connected),Gigabit Ethernet,7802.b175.b0a6,7802.b175.b0a6,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1659000,51000,3064692478,1611891531,0,0,,0
GigabitEthernet3/0/40,up,up (connected),Gigabit Ethernet,7802.b175.b0a8,7802.b175.b0a8,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1275000,47000,3564579003,1723255827,0,0,,0
GigabitEthernet3/0/42,up,up (connected),Gigabit Ethernet,7802.b175.b0aa,7802.b175.b0aa,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,965000,46000,3131683122,1630464939,0,0,,0
GigabitEthernet3/0/44,up,up (connected),Gigabit Ethernet,7802.b175.b0ac,7802.b175.b0ac,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,2125000,57000,3537213142,1682433277,457,359,,0
GigabitEthernet3/0/46,up,up (connected),Gigabit Ethernet,7802.b175.b0ae,7802.b175.b0ae,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1267000,47000,3515934135,1718277805,0,0,,0
GigabitEthernet3/0/48,up,up (connected),Gigabit Ethernet,7802.b175.b0b0,7802.b175.b0b0,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1277000,47000,2693730543,1559724632,1,0,,0
AppGigabitEthernet3/0/1,up,up (connected),App,7802.b175.b0c1,7802.b175.b0c1,,,1500,,,,1000000 Kbit,10 usec,ARPA,never,0:00:00,never,fifo,0,0,8,14029258,0,0,,0
GigabitEthernet4/0/1,up,up (connected),Gigabit Ethernet,5ce1.76b5.7481,5ce1.76b5.7481,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,944000,40000,3379092668,1669594070,0,0,,0
GigabitEthernet4/0/2,up,up (connected),Gigabit Ethernet,5ce1.76b5.7482,5ce1.76b5.7482,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1746000,45000,3717418940,1681765508,0,0,,0
GigabitEthernet4/0/3,up,up (connected),Gigabit Ethernet,5ce1.76b5.7483,5ce1.76b5.7483,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1481000,43000,3362487430,1688501167,0,0,,0
GigabitEthernet4/0/4,up,up (connected),Gigabit Ethernet,5ce1.76b5.7484,5ce1.76b5.7484,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1831000,43000,2545521657,1411726560,2,0,,0
GigabitEthernet4/0/5,up,up (connected),Gigabit Ethernet,5ce1.76b5.7485,5ce1.76b5.7485,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1788000,46000,3219211580,1626333014,0,0,,0
GigabitEthernet4/0/6,up,up (connected),Gigabit Ethernet,5ce1.76b5.7486,5ce1.76b5.7486,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1818000,46000,2727411348,1450448169,2,0,,0
GigabitEthernet4/0/7,up,up (connected),Gigabit Ethernet,5ce1.76b5.7487,5ce1.76b5.7487,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1840000,46000,3621719099,1705012116,0,0,,0
GigabitEthernet4/0/8,up,up (connected),Gigabit Ethernet,5ce1.76b5.7488,5ce1.76b5.7488,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,818000,37000,3048760617,1562094214,3,3,,0
GigabitEthernet4/0/9,up,up (connected),Gigabit Ethernet,5ce1.76b5.7489,5ce1.76b5.7489,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1075000,40000,3109893699,1656889839,0,0,,0
GigabitEthernet4/0/11,up,up (connected),Gigabit Ethernet,5ce1.76b5.748b,5ce1.76b5.748b,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1123000,39000,3259324995,1627588091,0,0,,0
GigabitEthernet4/0/12,up,up (connected),Gigabit Ethernet,5ce1.76b5.748c,5ce1.76b5.748c,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,0,0,7490972,38870276,0,0,,0
GigabitEthernet4/0/13,up,up (connected),Gigabit Ethernet,5ce1.76b5.748d,5ce1.76b5.748d,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1584000,43000,3028956646,1579061202,0,0,,0
GigabitEthernet4/0/15,up,up (connected),Gigabit Ethernet,5ce1.76b5.748f,5ce1.76b5.748f,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,878000,39000,3040502574,1641769961,0,0,,0
GigabitEthernet4/0/17,up,up (connected),Gigabit Ethernet,5ce1.76b5.7491,5ce1.76b5.7491,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,408000,25000,1498559786,975887914,1,1,,0
GigabitEthernet4/0/19,up,up (connected),Gigabit Ethernet,5ce1.76b5.7493,5ce1.76b5.7493,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1213000,31000,1388469161,937611710,2,1,,0
GigabitEthernet4/0/21,up,up (connected),Gigabit Ethernet,5ce1.76b5.7495,5ce1.76b5.7495,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1766000,46000,3583879115,1675421625,0,0,,0
GigabitEthernet4/0/23,up,up (connected),Gigabit Ethernet,5ce1.76b5.7497,5ce1.76b5.7497,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,923000,42000,3118381616,1634096147,0,0,,0
GigabitEthernet4/0/25,up,up (connected),Gigabit Ethernet,5ce1.76b5.7499,5ce1.76b5.7499,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1574000,47000,3554493554,1683713412,0,0,,0
GigabitEthernet4/0/27,up,up (connected),Gigabit Ethernet,5ce1.76b5.749b,5ce1.76b5.749b,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1124000,45000,3063915619,1594456875,0,0,,0
