,intf,ipaddr,status,proto
411,GigabitEthernet7/0/19,unassigned,down,down
412,GigabitEthernet7/0/20,unassigned,administratively down,down
413,GigabitEthernet7/0/21,unassigned,down,down
414,GigabitEthernet7/0/22,unassigned,administratively down,down
415,GigabitEthernet7/0/23,unassigned,down,down
416,GigabitEthernet7/0/24,unassigned,administratively down,down
417,GigabitEthernet7/0/25,unassigned,down,down
418,GigabitEthernet7/0/26,unassigned,administratively down,down
419,GigabitEthernet7/0/27,unassigned,down,down
420,GigabitEthernet7/0/28,unassigned,administratively down,down
421,GigabitEthernet7/0/29,unassigned,down,down
422,GigabitEthernet7/0/30,unassigned,administratively down,down
423,GigabitEthernet7/0/31,unassigned,down,down
424,GigabitEthernet7/0/32,unassigned,administratively down,down
425,GigabitEthernet7/0/33,unassigned,down,down
426,GigabitEthernet7/0/34,unassigned,administratively down,down
427,GigabitEthernet7/0/35,unassigned,down,down
428,GigabitEthernet7/0/36,unassigned,administratively down,down
429,GigabitEthernet7/0/37,unassigned,administratively down,down
430,GigabitEthernet7/0/38,unassigned,administratively down,down
431,GigabitEthernet7/0/39,unassigned,administratively down,down
432,GigabitEthernet7/0/40,unassigned,administratively down,down
433,GigabitEthernet7/0/41,unassigned,administratively down,down
434,GigabitEthernet7/0/42,unassigned,administratively down,down
435,GigabitEthernet7/0/43,unassigned,administratively down,down
436,GigabitEthernet7/0/44,unassigned,administratively down,down
437,GigabitEthernet7/0/45,unassigned,administratively down,down
438,GigabitEthernet7/0/46,unassigned,administratively down,down
439,GigabitEthernet7/0/47,unassigned,administratively down,down
440,GigabitEthernet7/0/48,unassigned,administratively down,down
441,GigabitEthernet7/1/1,unassigned,down,down
442,GigabitEthernet7/1/2,unassigned,down,down
443,GigabitEthernet7/1/3,unassigned,down,down
444,GigabitEthernet7/1/4,unassigned,down,down
445,Te7/1/1,unassigned,down,down
446,Te7/1/2,unassigned,down,down
447,Te7/1/3,unassigned,down,down
448,Te7/1/4,unassigned,down,down
449,Te7/1/5,unassigned,down,down
450,Te7/1/6,unassigned,down,down
451,Te7/1/7,unassigned,down,down
452,Te7/1/8,unassigned,down,down
453,Fo7/1/1,unassigned,down,down
454,Fo7/1/2,unassigned,down,down
455,TwentyFiveGigE7/1/1,unassigned,down,down
456,TwentyFiveGigE7/1/2,unassigned,down,down
457,Ap7/0/1,unassigned,up,up
458,Bluetooth0/4,unassigned,administratively down,down
459,Port-channel1,unassigned,up,up
460,Port-channel10,unassigned,up,up
461,Port-channel11,unassigned,up,up
462,Port-channel12,unassigned,up,up
463,Port-channel13,unassigned,up,up
464,Port-channel14,unassigned,up,up
465,Port-channel15,unassigned,up,up
466,Port-channel16,unassigned,up,up
467,Port-channel17,unassigned,up,up
468,Port-channel18,unassigned,down,down
469,Port-channel19,unassigned,up,up
470,Port-channel20,unassigned,up,up
471,Port-channel21,unassigned,up,up
472,Port-channel113,unassigned,down,down
